Video/ Audio,URL,Transit relevent ?,Count - video(past 12 months),Count - Meetings (past 12 months),Transportation Commission/City Counsil/ Planning Commission?,Mentioned Transportation Topic?,Transportation Commission Existed?,Transportation Commission video posted (>2 in the last year)?,"If no transportation commission, other meetings posted?",NAME2,AgencyName,NTDID,orgtype,pop,reptype,VOMS,mile,revenue,survey_response,Density,County,id,Contact Name,Email.x,Transit Operating Expense,size,CTA,Founded,OrgName,Organization Type,Website,Address,Zip,Phone,Primary Contact - Title,CALACT,Contact,Email.y,CATEGORY,OT,City
Zoom,https://www.imperialctc.org/meetings-and-agendas/commission,No,,Needs password,,,,,,Imperial County Transportation Commission,Imperial County Transportation Commission,90226,MPO/RTPA,179023,Full Reporter,28,425,7313641,0,3590,Imperial,Principal City,,,,,,,Imperial County Transportation Commission,MPO/RTPA,http://www.imperialctc.org,1503 N Imperial Avenue Ste 104,92243,760-592-4494,Executive Director,CALACT Member,Mark Baza,markbaza@imperialctc.org,MPO/RTPA,MPO/RTPA,El Centro
YouTube,https://www.youtube.com/@cityofinglewood/streams,No,48,,,,,,,Inglewood,City of Inglewood,90268,Local Government,222357,Reduced Reporter,12,21,972911,0,6999,Los Angeles,Suburban City,,,,,,,"Inglewood, City of",Local or Regional Government Agency,http://www.cityofinglewood.org,One Manchester Blvd,90301,310-412-4347,Transportation Manager,CALACT Member,Thomas Uwal,tuwal@cityofinglewood.org,,Local Government,Inglewood
YouTube,https://www.youtube.com/@OfficialKernCounty/streams,No,24,,,,,,,Kern COG,Kern COG,,MPO/RTPA,,,,8161,,0,,,,,,,,,1970,,,,,,,,,,,,MPO/RTPA,Bakersfield
No,,,,,,,,,,Kern Regional Transit,Kern Regional Transit,9R02-91059,Independent Public Agency,,Rural Reporter,45,,,0,,Kern,Principal City,,,,,,,Kern Regional Transit,Independent Public Agency,http://kerntransit.org,2700 M Street Ste 400,93301,661-862-8616,Manager,CALACT Member,Robert Neath,bobn@kerncounty.com,Independent Public Agency,Independent Public Agency,Bakersfield
No,,,,,,,,,,Kings County Area Public Transit Agency,Kings County Area Public Transit Agency,90200,Independent Public Agency,70408,Full Reporter,21,13,4735679,0,3170,Kings,Principal City,Angie Dow,angie.dow@co.kings.ca.us,3959970,small,CTA Member,,Kings County Area Public Transit Agency (KART),Public Operator,http://www.kartbus.org,610 W 7th Street,93230,559-852-2691,Executive Director,CALACT Member,Angie Dow,angie.dow@co.kings.ca.us,,Independent Public Agency,Hanford
No,,,,,,,,,,Kings County Association of Governments (KCAG),Kings County Association of Governments (KCAG),,MPO/RTPA,,,,1391,,0,,,,,,,,,2003,,,,,,,,,,,,MPO/RTPA,Lemoore
Own Website,https://www.cityoflamirada.org/about-us/agendas-and-minutes,No,,,,,,,,La Mirada,,,Local Government,,,,,,0,,,,,,,,,,"La Mirada, City of",Local Government,www.cityoflamirada.org/,13700 La Mirada Blvd,90638,562-943-0131,Community Services Supervisor,CALACT Member,Lisa Montoya,lmontoya@cityoflamirada.org,Local Government,Local Government,La Mirada
Own Website,https://www.lagunabeachcity.net/live-here/city-council/meetings-agendas-and-minutes,No,22,22,,,,,,Laguna Beach,City of Laguna Beach,90119,Local Government,22723,Full Reporter,23,9,3678884,0,3878,Orange,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Laguna Beach
No,,,,,,,,,,Lake Transit Authority,Lake Transit Authority,9R02-91053,Independent Public Agency,,Rural Reporter,26,,,0,,Tulare,Principal City,Lisa Davey-Bates,ldaveybates@dbcteam.net,2852978,small,CTA Member,,Lake Transit Authority,Public Operator,http://www.laketransit.org,525 South Main Street Ste G,95482,707-234-3314,Executive Director,CALACT Member,Lisa Davey-Bates,ldaveybates@dbcteam.net,,Independent Public Agency,Visalia
No,,,,,,,,,,Lassen Transit Service Agency,Lassen Transit Service Agency,9R02-91098,Independent Public Agency,,Rural Reporter,5,,,1,,Lassen,Principal City,,,,,,,Lassen Transit Service Agency,Independent Public Agency,http://www.lassentransportation.com,707 Nevada Street Ste 4,96130,530-251-8305,Transportation Planner,CALACT Member,David Knaut,dknaut@co.lassen.ca.us,Independent Public Agency,Independent Public Agency,Susanville
YouTube,,,9,,,,,,,Lawndale,City of Lawndale,90280,Local Government,32769,Reduced Reporter,2,2,470270,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Lawndale
No,,,,,,,,,,Livermore / Amador Valley Transit Authority,Livermore / Amador Valley Transit Authority,90144,Independent Public Agency,233853,Full Reporter,62,40,31303049,1,3023,Alameda,Principal City,Michael Tree,mtree@lavta.org,15515006,small,CTA Member,,Livermore/Amador Valley Transit Authority,Public Operator,http://www.wheelsbus.com,1362 Rutan Court Ste 100,94551,925-455-7555,Executive Director,CALACT Member,Michael Tree,mtree@lavta.org,,Independent Public Agency,Livermore
Granicus,https://lodica.granicus.com/ViewPublisher.php?view_id=2,No,33,,,,,,,Lodi,City of Lodi,90175,Local Government,67121,Reduced Reporter,16,16,4879737,1,4320,San Joaquin,Small Rural City,,,,,,,"Lodi, City of",Local Government,www.lodi.gov,PO Box 3006,95240,760-964-2345,"Transportation Manager, Public Works",CALACT Member,Georgia Graham,ggraham@lodi.gov,Local Government,Local Government,Lodi
No,,,,,,,,,,Lompoc,City of Lompoc,90149,Local Government,55666,Reduced Reporter,23,40,4973948,1,4816,Santa Barbara,Small Rural City,,,,,,,"Lompoc, City of - Transit",Local Government,http://cityoflompoc.com,1300 W Laurel Street  Bldg 4A,93436,805-875-8003,Purchasing Materials Manager,CALACT Member,Ray Ambler,r_ambler@ci.lompoc.ca.us,Local Government,Local Government,Lompoc
Granicus,http://longbeach.legistar.com/DepartmentDetail.aspx?ID=2515&GUID=51D10EDB-3096-48AD-A5B7-6A0CF2D3DBF5&Search=,No,0,,,,,,,Long Beach Transit,Long Beach Transit,90023,Other,849028,Full Reporter,197,100,117417425,1,6999,Los Angeles,Principal City,Kenneth A. McDonald,kmcdonald@lbtransit.com,88644865,medium,CTA Member,,,,,,,,,,,,,Other,Long Beach
YouTube,https://www.youtube.com/@LACityClerk,No,50,,Yes/Yes/Yes,Transportation Commitee/Planning Commision/ City Council,Yes,Not the Transportation Commission posting the video but the Transportation Committee. Transportation Commission is posting meeting minute but not videos. Transportation Committee is posting videos but the date is different from the meeting minute from Transportation Commission.,Not applicable,Los Angeles,City of Los Angeles,90147,Local Government,4849476,Full Reporter,359,465,150833167,1,6999,Los Angeles,Principal City,Kari Derderian,kari.derderian@lacity.org,92932856,small,CTA Member,,,,,,,,,,,,,Local Government,Los Angeles
No,,,,,,,,,,Los Angeles County Department of Public Works - Avocado Heights,Los Angeles County Department of Public Works - Avocado Heights,90270,Local Government,15500,Reduced Reporter,1,9,251372,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Alhambra
No,,,,,,,,,,Los Angeles County Department of Public Works - East L.A.,Los Angeles County Department of Public Works - East L.A.,90271,Local Government,126496,Reduced Reporter,13,8,2510283,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Alhambra
No,,,,,,,,,,Los Angeles County Department of Public Works - East Valinda,Los Angeles County Department of Public Works - East Valinda,90272,Local Government,22822,Reduced Reporter,1,15,266864,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Alhambra
No,,,,,,,,,,Los Angeles County Department of Public Works - South Whittier,Los Angeles County Department of Public Works - South Whittier,90276,Local Government,86883,Reduced Reporter,4,5,1091545,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Alhambra
No,,,,,,,,,,Los Angeles County Dept. of Public Works - Athens Shuttle Service,Los Angeles County Dept. of Public Works - Athens Shuttle Service,90269,Local Government,23159,Reduced Reporter,1,25,243360,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Alhambra
No,,,,,,,,,,Los Angeles County Dept. of Public Works - Florence-Firestone,Los Angeles County Dept. of Public Works - Florence-Firestone,90273,Local Government,63387,Reduced Reporter,2,7,331191,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Alhambra
No,,,,,,,,,,Los Angeles County Dept. of Public Works - King Medical Center Shuttle Service,Los Angeles County Dept. of Public Works - King Medical Center Shuttle Service,90274,Local Government,12358,Reduced Reporter,2,49,391677,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Alhambra
No,,,,,,,,,,Los Angeles County Dept. of Public Works - Lennox Shuttle,Los Angeles County Dept. of Public Works - Lennox Shuttle,90275,Local Government,27897,Reduced Reporter,1,16,233086,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Alhambra
No,,,,,,,,,,Los Angeles County Dept. of Public Works - Willowbrook Shuttle,Los Angeles County Dept. of Public Works - Willowbrook Shuttle,90278,Local Government,24798,Reduced Reporter,2,36,377958,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Alhambra
Own Website,https://www.metro.net/about/board-directors-meetings-audio-archive/,Yes,198,,,,,,,Los Angeles County Metropolitan Transportation Authority,Los Angeles County Metropolitan Transportation Authority,90154,Independent Public Agency,8595119,Full Reporter,3458,1459,3556381509,1,6999,Los Angeles,Principal City,Michael Turner,Turnerm@metro.net,1824213933,large,CTA Member,,LACMTA/LA Metro,Public Operator,www.metro.net,One Gateway Plaza  MS 99-23-3,90012,213-922-6000,"Deputy Executive Officer, Countywide Plng & Development",CALACT Member,Fanny Pan,PanF@metro.net,,Independent Public Agency,Los Angeles
Own Website,https://www.lynnwoodwa.gov/Government/City-Council/City-Council-Meetings,No,59,,,,,,,Lynwood,City of Lynwood,90281,Local Government,72015,Reduced Reporter,4,5,820114,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Lynwood
YouTube,https://www.youtube.com/@CityofMaderaTV,No,41,,,,,,,Madera,City of Madera,90199,Local Government,66225,Reduced Reporter,17,16,2134957,0,3502,Madera,Principal City,,,,,,,"Madera, City of",Local or Regional Government Agency,http://www.cityofmadera.ca.gov,205 W 4th Street,93637,559-661-3692,Program Manager,CALACT Member,David Huff,dhuff@madera.gov,,Local Government,Madera
No,,,,,,,,,,Madera County,Madera County,9R02-91005,Local Government,,Rural Reporter,6,,,0,,Madera,Principal City,,,,,,,Madera County Public Works Department,Local Government,http://madera-county.com,200 West 4th Street,93637,559-675-7811,District Manager,CALACT Member,Phillip Toler,philip.toler@maderacounty.com,Local Government,Local Government,Madera
No,,,,,,,,,,Madera County Transportation Commission (Madera CTC),Madera County Transportation Commission (Madera CTC),,MPO/RTPA,,,,2152,,0,,,,,,,,,2003,,,,,,,,,,,,MPO/RTPA,Madera
Granicus,https://www.manteca.gov/departments/legislative-services-city-clerk/city-council-video,No,73,,,,,,,Manteca,City of Manteca,90217,Local Government,81345,Reduced Reporter,5,21,2902291,0,3828,San Joaquin,Small Rural City,Juan Portillo,jportillo@ci.manteca.ca.us,1557388,small,CTA Member,,"Manteca, City of",Local Government,http://www.MantecaTransit.com,220 Moffat Blvd,95336,209-456-8775,Transit Supervisor,CALACT Member,Juan Portillo,jportillo@ci.manteca.ca.us,Local Government,Local Government,Manteca
No,,,,,,,,,,Marin County Transit District,Marin County Transit District,90234,Independent Public Agency,262573,Full Reporter,85,520,43062740,0,6266,Marin,Principal City,Nancy Whelan,nwhelan@marintransit.org,28718227,small,CTA Member,,Marin County Transit District,Public Operator,www.marintransit.org,711 Grand Avenue Ste 110,94901,415-226-0855,Director of Planning & Operations,CALACT Member,Robert Betts,rbetts@marintransit.org,,Independent Public Agency,San Rafael
No,,,,,,,,,,Mariposa County Department of Public Works,,,Local Government,,,,,,0,,,,,,,,,,Mariposa County Department of Public Works,Local or Regional Government Agency,https://www.mariposacounty.org/171/Public-Works,4639 Ben Hur Road,95338,209-966-5356,Transportation Planner,CALACT Member,Jeannie Morvay-Clayton,jclayton@mariposacounty.org,,Local Government,Mariposa
No,,,,,,,,,,Maywood,City of Maywood,90284,Local Government,27748,Reduced Reporter,5,2,417380,0,6999,Los Angeles,Suburban City,,,,,,,,,,,,,,,,,,Local Government,Maywood
No,,,,,,,,,,Mendocino Transit Authority,Mendocino Transit Authority,9R02-91047,Independent Public Agency,,Rural Reporter,23,,,0,,Mendocino,Principal City,"Jacob King, Sr",jacob@mendocinotransit.org,5649889,small,CTA Member,,Mendocino Transit Authority,Public Operator,http://mendocinotransit.org/,241 Plant Road,95482,707-462-1422,Executive Director,CALACT Member,Jacob King,jacob@mendocinotransit.org,,Independent Public Agency,Ukiah
YouTube,https://www.youtube.com/channel/UCUo8JYBGMjM55Ez2ooIBVfA/playlists,No,11,,,,,,,Merced County Association of Governments (MCAG),Merced County Association of Governments (MCAG),,MPO/RTPA,,,,1971,,0,,,,,,,,,1986,,,,,,,,,,,,MPO/RTPA,Merced
Granicus,https://mtc.granicus.com/account/login?ReturnUrl=%2F,Yes,14,,,,,,,Metropolitan Transportation Commission (MTC),Metropolitan Transportation Commission (MTC),,MPO/RTPA,,,,7485,,1,,,,,,,,,1970,,,,,,,,,,,,MPO/RTPA,Oakland
YouTube,https://www.youtube.com/@TheCityofModesto/streams,No,30,,,,,,,Modesto,City of Modesto,90007,Local Government,253607,Full Reporter,63,59,21276152,0,3898,Stanislaus,Principal City,Adam Barth,abarth@modestogov.com,16934237,small,CTA Member,,"Modesto, City of - Transit",Local Government,http://www.modestoareaexpress.com,PO Box 642,95354,209-577-5292,,CALACT Member,NA NA,,Local Government,Local Government,Modesto
No,,,,,,,,,,Modoc County Transportation Commission,,,MPO/RTPA,,,,,,0,,,,,,,,,,Modoc County Transportation Commission,Public Operator,http://modoctransportation.com,108 S Main Street,96101,530-233-6410,Executive Director,CALACT Member,Debbie Pedersen,dpedersen@modoctransportation.com,,MPO/RTPA,Alturas
No,,,,,,,,,,Modoc Transportation Agency,Modoc Transportation Agency,9R02-91008,Local Government,,Rural Reporter,3,,,0,,Modoc,Small Rural City,,,,,,,,,,,,,,,,,,Local Government,Alturas
YouTube,https://www.youtube.com/@kgemtv/streams,No,37,,,,,,,Monrovia Public Works,,,Local Government,,,,,,0,,,,,,,,,,"Monrovia, City of Public Works",Local or Regional Government Agency,http://www.cityofmonrovia.org/,600 South Mountain Avenue,91016,626-932-5553,Administrative Officer,CALACT Member,Alex Tachiki,atachiki@ci.monrovia.ca.us,,Local Government,Monrovia
YouTube,https://www.youtube.com/@cityofmontebello-governmen7226/streams,No,47,,,,,,,Montebello,City of Montebello,90041,Local Government,315074,Full Reporter,107,151,31314137,0,6999,Los Angeles,Suburban City,Anthony Rodriguez,AnthonyRodriguez@cityofmontebello.com,29765075,medium,CTA Member,,,,,,,,,,,,,Local Government,Montebello
No,,,,,,,,,,Montebello Bus Lines,,,Independent Public Agency,,,,,,0,,,,,,,,,,Montebello Bus Lines,Public Operator,http://www.ridembl.com/,400 S Taylor Avenue,90640,323-558-1625,Transit Administration Manager,CALACT Member,John Soria,jsoria@cityofmontebello.com,,Independent Public Agency,Montebello
YouTube,https://www.youtube.com/@tamcmonterey/videos,No,12,,,,,,,"Monterey County, Transportation Agency (TAMC)",,,Local Government,,,,,,0,,,,,,,,,,"Monterey County, Transportation Agency (TAMC)",Local or Regional Government Agency,http://www.tamcmonterey.org,55-B Plaza Circle,93901,831-775-0903,Principal Transportation Planner,CALACT Member,Todd Muck,todd@tamcmonterey.org,,Local Government,Salinas
Granicus,https://www.montereypark.ca.gov/133/City-Council-Meeting-Videos,No,27,,,,,,,Monterey Park,City of Monterey Park,90286,Local Government,62240,Reduced Reporter,10,8,1625168,0,6999,Los Angeles,Suburban City,,,,,,,"Monterey Park, City of - Public Works",Local or Regional Government Agency,http://www.montereypark.ca.gov,320 W Newmark Avenue,91754,626-307-1383,Principal Management Analyst,CALACT Member,Bonnie Tam,btam@montereypark.ca.gov,,Local Government,Monterey Park
YouTube,https://www.youtube.com/@MontereySalinasTransit/streams,No,27,,,,,,,Monterey-Salinas Transit,Monterey-Salinas Transit,90062,Independent Public Agency,437907,Full Reporter,120,294,76577503,1,2952,Monterey,Small Rural City,Carl Sedoryk,Csedoryk@mst.org,45144870,medium,CTA Member,,,,,,,,,,,,,Independent Public Agency,Monterey
Granicus,https://www.moorparkca.gov/327/City-CouncilSuccessor-Agency-Meeting-Age,No,30,,,,,,,Moorpark,City of Moorpark,90227,Local Government,36828,Reduced Reporter,2,12,967307,0,2509,Ventura,Suburban City,,,,,,,"Moorpark, City of",Local Government,http://www.moorparkca.gov,799 Moorpark Avenue,93021,805-517-6257,Program Manager,CALACT Member,Shaun Kroes,skroes@moorparkca.gov,Local Government,Local Government,Moorpark
No,,,,,,,,,,Morongo Basin Transit Authority,Morongo Basin Transit Authority,9R02-91090,Independent Public Agency,,Rural Reporter,19,,,1,,San Bernardino,Suburban City,Joe Meer,joe@mbtabus.com,3677801,small,CTA Member,,Morongo Basin Transit Authority,Public Operator,http://mbtabus.com,62405 Verbena Road,92252,760-366-2986,Director of Cooperative Procurement Programs,CALACT Member,Joe Meer,joe@mbtabus.com,,Independent Public Agency,Joshua Tree
YouTube,https://www.youtube.com/@cityofmorrobay6796/featured,No,74,,No/ Yes/ Yes,City Council/ Planning Commission,No,Not applicable,Planning commission/ City council ,Morro Bay,,,Local Government,,,,,,0,,,,,,,,,,"Morro Bay, City of",Local Government,http://www.morrobayca.gov,595 Harbor Street,93442,805-772-6200,Management Analyst,CALACT Member,Janeen Burlingame,jburlingame@morrobayca.gov,Local Government,Local Government,Morro Bay
No,,,,,,,,,,Mountain Area Regional Transit Authority,Mountain Area Regional Transit Authority,9R02-91012,Independent Public Agency,,Rural Reporter,11,,,0,,San Bernardino,Suburban City,,,,,,,Mountain Transit,Public Operator,http://www.mountaintransit.org,PO Box 1501,92315,909-878-5200,General Manager,CALACT Member,Sandy Benson,sbenson@mountaintransit.org,,Independent Public Agency,Big Bear Lake
No,,,,,,,,,,Napa Valley Transportation Authority,Napa Valley Transportation Authority,90088,Independent Public Agency,138000,Full Reporter,41,45,10810380,0,3250,Napa,Principal City,Kate Miller,kmiller@nvta.ca.gov,10697524,small,CTA Member,,Napa Valley Transportation Authority,Public Operator,http://www.nvta.ca.gov,625 Burnell Street,94559-2951,707-259-8631,Director of Finance,CALACT Member,Antonio Onorato,aonorato@nvta.ca.gov,,Independent Public Agency,Napa
No,,,,,,,,,,Needles,City of Needles,9R02-91020,Local Government,,Rural Reporter,1,,,0,,San Bernardino,Suburban City,,,,,,,"Needles, City of",Local or Regional Government Agency,http://www.cityofneedles.com,817 Third Street,92363,760-326-2113 x115,Community Services Manager,CALACT Member,Cheryl K. Sallis,csallis@cityofneedles.com,,Local Government,Needles
YouTube,https://www.youtube.com/@CountyofNevadaCA/streams,No,32,,,,,,,Nevada County Transit Services,Nevada County Transit Services,9R02-91095,Independent Public Agency,,Rural Reporter,10,,,1,,Nevada,Small Rural City,,,,,,,Nevada County Transit Services,Independent Public Agency,http://goldcountrystage.com,950 Maidu Avenue,95959,530-477-0103 x1003,Transit Services Manager,CALACT Member,Robin Van Valkenburgh,robin.vanvalkenburgh@co.nevada.ca.us,Independent Public Agency,Independent Public Agency,Nevada City
YouTube,https://www.youtube.com/@cityofnorco9651/streams,No,25,,,,,,,Norco,,,Local Government,,,,,,0,,,,,,,,,,"Norco, City of",Local or Regional Government Agency,www.norco.ca.us,2870 Clark Avenue,92860,951-735-3900,Deputy City Manager,CALACT Member,Brian K. Petree,bpetree@ci.norco.ca.us,,Local Government,Norco
YouTube,https://www.youtube.com/@gonctd/streams,No,33,,,,,,,North County Transit District,North County Transit District,90030,Independent Public Agency,849420,Full Reporter,233,403,112373383,1,4037,San Diego,Small Rural City,Suheil Rodriguez,srodriguez@nctd.org,101243066,medium,CTA Member,,,,,,,,,,,,,Independent Public Agency,Oceanside
Granicus,https://www.norwalk.org/city-hall/meeting-agendas-393,No,44,72,,,,,,Norwalk,City of Norwalk,90022,Independent Public Agency,637365,Full Reporter,29,37,15555959,0,6999,Los Angeles,Suburban City,James C. Parker,jparker@norwalkca.gov,13448699,small,CTA Member,,Norwalk Transit System,Independent Public Agency,http://www.norwalk.org/city-hall/departments/norwalk-transit-system-nts,12700 Norwalk Blvd,90650,562-929-5533,Executive Director of Regional Transportation,CALACT Member,James C. Parker,jparker@norwalkca.gov,Independent Public Agency,Independent Public Agency,Norwalk
Granicus,https://ojai.ca.gov/525/2968/Agendas-Minutes,No,28,,,,,,,Ojai,City of Ojai,9R02-91058,Local Government,,Rural Reporter,2,,,0,,Ventura,Suburban City,,,,,,,"Ojai, City of - Public Works",Local Government,http://www.ojaitrolley.com,408 S Signal Street,93023,805-646-5581 x200,Transit Operations Supervisor,CALACT Member,Phil Pulley,pulley@ojaicity.org,Local Government,Local Government,Ojai
No,,,,,,,,,,Omnitrans,Omnitrans,90029,Independent Public Agency,1500107,Full Reporter,250,466,113078655,0,3546,San Bernardino,Principal City,Erin Rogers,erin.rogers@omnitrans.org,83331930,medium,CTA Member,,,,,,,,,,,,,Independent Public Agency,San Bernardino
Granicus,https://www.octa.net/about/leadership/board-of-directors/live-archived-audio/,Yes,100,,,,,,,Orange County Transportation Authority,Orange County Transportation Authority,90036,Independent Public Agency,2869428,Full Reporter,1495,435,303853586,0,6999,Orange,Principal City,Darrell Johnson,djohnson@octa.net,268901712,large,CTA Member,,Orange County Transportation Authority,Public Operator,http://www.octa.net,550 S Main Street,92863,714-560-6282,Section Manager II,CALACT Member,Gracie Davis,gdavis@octa.net,,Independent Public Agency,Orange
No,,,,,,,,,,Palo Verde Valley Transit Agency,,,Independent Public Agency,,,,,,0,,,,,,,,,,Palo Verde Valley Transit Agency,Public Operator,http://pvvta.com,415 N Main Street,92225,760-922-1140,Transit General Manager,CALACT Member,George Colangeli,paloverdebus@yahoo.com,,Independent Public Agency,Blythe
No,,,,,,,,,,Palos Verdes Peninsula Transit Authority,Palos Verdes Peninsula Transit Authority,90287,Independent Public Agency,64272,Reduced Reporter,27,22,2237184,0,6999,Los Angeles,Suburban City,,,,,,,Palos Verdes Peninsula Transit Authority,Public Operator,http://www.palosverdes.com/pvtransit,PO Box 2656,90274,310-544-7108,Administrator,CALACT Member,Martin Gombert,transit@pvtransit.net,,Independent Public Agency,Palos Verdes Peninsula
Own Website,https://www.cityofpasadena.net/city-clerk/audio-video-archives//,No,41,,,,,,,Pasadena,City of Pasadena,99424,Local Government,142250,Full Reporter,31,23,8933820,0,6999,Los Angeles,Principal City,,,,,,,"Pasadena, City of",Local or Regional Government Agency,http://cityofpasadena.net/,221 E Walnut Street Ste 199,91101,626-744-4055,Transit Manager,CALACT Member,Valerie Gibson,vgibson@cityofpasadena.net,,Local Government,Pasadena
No,,,,,,,,,,Peninsula Corridor Joint Powers Board,Peninsula Corridor Joint Powers Board,90134,Independent Public Agency,3614716,Full Reporter,141,425,456033767,0,6266,San Mateo,Suburban City,,,,,,,,,,,,,,,,,,Independent Public Agency,San Carlos
YouTube,https://www.youtube.com/@cityofpetaluma1858,Yes,43,,Yes/ Yes/ Yes,Planning Commision/ City Council/ Transit Advisory Committee,Yes. Transit Advisory Committee,2 posted. videos started to be posted since 2022/08,Not applicable,Petaluma,City of Petaluma,90213,Local Government,60870,Full Reporter,16,12,2887652,0,3008,Sonoma,Principal City,Jared Hall,jhall@ci.petaluma.ca.us,2647092,small,CTA Member,,"Petaluma, City of - Petaluma Transit",Local Government,http://transit.cityofpetaluma.net/,555 N McDowell Blvd,94954,707-778-4421,Transit Manager,CALACT Member,Jared Hall,jhall@ci.petaluma.ca.us,Local Government,Local Government,Petaluma
YouTube,https://www.youtube.com/c/CityofPicoRiveraOfficial/playlists?app=desktop,No,19,,,,,,,Pico Rivera,,,Local Government,,,,,,0,,,,,,,,,,"Pico Rivera, City of",Local or Regional Government Agency,www.pico-rivera.org,6615 Passons Blvd,90660,562-942-2000,Interim Director,CALACT Member,Sonya Patterson,spatterson@pico-rivera.org,,Local Government,Pico Rivera
No,,,,,,,,,,Plumas County Transportation Commission,Plumas County Transportation Commission,9R02-91119,MPO/RTPA,,Rural Reporter,8,,,0,,Plumas,Small Rural City,,,,,,,Plumas County Transportation Commission,Local or Regional Government Agency,http://www.countyofplumas.com,1834 E Main Street,95971,530-283-6492,Assistant Director,CALACT Member,John Mannle,johnmannle@countyofplumas.com,,MPO/RTPA,Quincy
No,,,,,,,,,,Plumas Transit,,,Independent Public Agency,,,,,,0,,,,,,,,,,Plumas Transit,Public Operator,https://www.plumastransit.com/,711 E Main Street,95971,530-283-2538,Plumas Transit Coordinator,CALACT Member,Kelly McElwain,kmcelwain@plumasruralservices.org,,Independent Public Agency,Quincy
No,,,,,,,,,,Pomona Valley Transportation Authority,,,Independent Public Agency,,,,,,0,,,,,,,,,,Pomona Valley Transportation Authority,Public Operator,http://pvtrans.org,2120 Foothill Blvd Ste 116,91750,909-596-7664,Administrator,CALACT Member,George Sparks,glspvta@gmail.com,,Independent Public Agency,La Verne
YouTube,https://www.youtube.com/channel/UC5KuhSrNMNL9nwHJVtnJvvA/videos,No,52,,,,,,,Porterville,City of Porterville,90198,Local Government,75691,Reduced Reporter,13,49,5788400,0,3426,Tulare,Small Rural City,,,,,,,"Porterville, City of",Local Government,http://www.ridept.com,291 N Main Street,93257,559-782-7448,Transit Manager,CALACT Member,Richard Tree,rtree@ci.porterville.ca.us,Local Government,Local Government,Porterville
No,,,,,,,,,,Redding Area Bus Authority,Redding Area Bus Authority,90093,Independent Public Agency,117478,Full Reporter,28,100,8522825,0,1657,Shasta,Principal City,Chuck Aukland,caukland@ci.redding.ca.us,5849087,small,CTA Member,,Redding Area Bus Authority,Public Operator,https://www.cityofredding.org/departments/redding-area-bus-authority,777 Cypress Avenue,96001,530-225-4012,Assistant Director,CALACT Member,"Charles Aukland, P.E.",caukland@ci.redding.ca.us,,Independent Public Agency,Redding
Own Website,https://www.cityofredlands.org/meeting-agendas-minutes,No,46,50,,,,,,Redlands,,,Local Government,,,,,,0,,,,,,,,,,"Redlands, City of",Local or Regional Government Agency,www.cityofredlands.org,PO Box 3005,92373,909-798-7572,Recreation Coordinator,CALACT Member,David Jaffe,djaffe@cityofredlands.org,,Local Government,Redlands
Granicus,https://redondo.legistar.com/Calendar.aspx,No,137,165,,,,,,Redondo Beach,City of Redondo Beach,90214,Local Government,67233,Full Reporter,14,13,3853674,0,6999,Los Angeles,Suburban City,Joyce Rooney,joyce.rooney@redondo.org,3788299,small,CTA Member,,"Redondo Beach, City of - Transit Division",Local Government,http://www.beachcitiestransit.org,415 Diamond Street,90277,310-318-0610 x2670,Transit Operations & Transportation Facilities Mgr,CALACT Member,Joyce Rooney,joyce.rooney@redondo.org,Local Government,Local Government,Redondo Beach
YouTube,https://www.youtube.com/@CountyOfDelNorte/streams,Yes,70,,,,,,,Redwood Coast Transit Authority,Redwood Coast Transit Authority,9R02-91097,Independent Public Agency,,Rural Reporter,8,,,1,,Tulare,Principal City,,,,,,,Redwood Coast Transit Authority,Public Operator,www.redwoodcoasttransit.org/,1275 4th Street Ste 733,95404,707-235-3078,General Manager,CALACT Member,Joseph Rye,tmtpconsulting@gmail.com,,Independent Public Agency,Visalia
YouTube,https://www.youtube.com/@CityofRidgecrest/videos,No,24,,,,,,,Ridgecrest,City of Ridgecrest,9R02-91006,Local Government,,Rural Reporter,5,,,0,,Kern,Small Rural City,,,,,,,"Ridgecrest, City of - Transit Division",Local Government,http://ci.ridgecrest.ca.us,100 W California Avenue,93555,760-499-5041,Transit Service Coordinator,CALACT Member,Christopher Smith,csmith@ridgecrest-ca.gov,Local Government,Local Government,Ridgecrest
